hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
HeartHealthMonth	1275209472	189.37500	.03030	.00016	1	33	1	5890
healthcareworkers	1275209472	189.37500	.03030	.00016	1	33	1	5890
HCWs	1275209472	45.22388	.03030	.00067	1	33	4	5890
Halifax	1275209472	189.37500	.03030	.00016	1	33	1	5890
GraMMMMMMudeTuesday	1275209472	189.37500	.03030	.00016	1	33	1	5890
GraMMMMMMude	1275209472	189.37500	.03030	.00016	1	33	1	5890
GoRedforWomen	1275209472	60.60000	.03030	.00050	1	33	3	5890
ForThePeople	1275209472	12.78481	.03030	.00237	1	33	14	5890
Election2023	1275209472	189.37500	.03030	.00016	1	33	1	5890
Easter	1275209472	91.81818	.03030	.00033	1	33	2	5890
Covid19	1275209472	8.51123	.03030	.00356	1	33	21	5890
chocolatebooty	1275209472	189.37500	.03030	.00016	1	33	1	5890
CHOCOLATEADDICTCLUB	1275209472	189.37500	.03030	.00016	1	33	1	5890
Cardiac	1275209472	189.37500	.03030	.00016	1	33	1	5890
Canada	1275209472	2.28851	.03030	.01324	1	33	78	5890
BoycottNestle	1275209472	189.37500	.03030	.00016	1	33	1	5890
BetterOffWithRachel	1275209472	30.00000	.03030	.00101	1	33	6	5890
Antigonish	1275209472	189.37500	.03030	.00016	1	33	1	5890
Alberta	1275209472	22.44444	.03030	.00135	1	33	8	5890
abpoli	1275209472	4.46244	.03030	.00679	1	33	40	5890
ableg	1275209472	2.34883	.03030	.01290	1	33	76	5890
VITT	1278236816936710144	214.98771	.87500	.00407	7	8	24	5890
News	1278236816936710144	500.00000	.25000	.00050	2	8	3	5890
HappyNewYear2022	1278236816936710144	757.57575	.25000	.00033	2	8	2	5890
Empathy	1278236816936710144	500.00000	.25000	.00050	2	8	3	5890
VaccineSideEffects	1278236816936710144	33.51206	.12500	.00373	1	8	22	5890
StandTogether	1278236816936710144	781.25000	.12500	.00016	1	8	1	5890
NewYearsResolutions	1278236816936710144	781.25000	.12500	.00016	1	8	1	5890
GetWellSoon	1278236816936710144	781.25000	.12500	.00016	1	8	1	5890
Republicans	1280478731874848769	199.00000	.13333	.00067	2	15	4	5890
Iowa	1280478731874848769	112.99152	.13333	.00118	2	15	7	5890
IALegislature	1280478731874848769	404.03030	.13333	.00033	2	15	2	5890
VoteBlueToSaveAmerica	1280478731874848769	49.37777	.06666	.00135	1	15	8	5890
VoteBlue2022	1280478731874848769	56.49152	.06666	.00118	1	15	7	5890
ValNotMarco	1280478731874848769	416.62500	.06666	.00016	1	15	1	5890
ValDemings	1280478731874848769	202.00000	.06666	.00033	1	15	2	5890
Syria	1280478731874848769	20.70186	.06666	.00322	1	15	19	5890
SleepyJoe	1280478731874848769	99.49253	.06666	.00067	1	15	4	5890
Resistance	1280478731874848769	133.32000	.06666	.00050	1	15	3	5890
MaskUp	1280478731874848769	5.77642	.06666	.01154	1	15	68	5890
FoxNews	1280478731874848769	66.00000	.06666	.00101	1	15	6	5890
Florida	1280478731874848769	79.35714	.06666	.00084	1	15	5	5890
CrazyTown	1280478731874848769	19.66371	.06666	.00339	1	15	20	5890
BidenStrong	1280478731874848769	416.62500	.06666	.00016	1	15	1	5890
Ukrainian	1298372735383605249	17.85854	.09090	.00509	1	11	30	5890
UkraineRussianWar	1298372735383605249	41.31818	.09090	.00220	1	11	13	5890
Ukraine	1298372735383605249	1.75550	.09090	.05178	1	11	305	5890
Russian	1298372735383605249	11.65384	.09090	.00780	1	11	46	5890
RemoveRon	1298372735383605249	568.12500	.09090	.00016	1	11	1	5890
NorthCarolina	1298372735383605249	568.12500	.09090	.00016	1	11	1	5890
MRRRRRRMURDERERtrump	1298372735383605249	568.12500	.09090	.00016	1	11	1	5890
Meanwhile	1298372735383605249	568.12500	.09090	.00016	1	11	1	5890
Invasion	1298372735383605249	568.12500	.09090	.00016	1	11	1	5890
DeJoyNeedsToGo	1298372735383605249	568.12500	.09090	.00016	1	11	1	5890
Boombox	1298372735383605249	568.12500	.09090	.00016	1	11	1	5890
DowningStreetParties	130120037	116.27906	.75000	.00645	3	4	38	5890
Ukraine	130120037	9.65623	.50000	.05178	2	4	305	5890
Today	130120037	757.57575	.25000	.00033	1	4	2	5890
PartyGate	130120037	134.40860	.25000	.00186	1	4	11	5890
FollowBackFriday	1305817131234267136	10.09761	1.50000	.14855	3	2	875	5890
FBPE	1305817131234267136	10.00600	1.50000	.14991	3	2	883	5890
COVID19BC	1307027256133345280	15.33962	.33333	.02173	2	6	128	5890
bcpoli	1307027256133345280	9.48577	.33333	.03514	2	6	207	5890
